Number,Gender,NameSet,GivenName,Surname,City,EmailAddress,TelephoneNumber,Birthday
1,male,Polish,Kajetan,Chmielewski,Sopot,KajetanChmielewski@dayrep.com,"78 750 01 68",11/7/1954
2,female,Polish,Bolesława,"Nowak ",Sopot,BoleslawaNowak@armyspy.com,"67 505 71 33",7/12/1955
3,male,Polish,Radzimierz,Tomaszewski,Rzeszów,RadzimierzTomaszewski@gustr.com,"67 450 95 46",7/21/1989
4,male,Polish,Idzi,Adamski,Gdynia,IdziAdamski@einrot.com,"51 700 41 43",2/9/1971
5,male,Polish,Bogusław,Jasiński,Szczecin,BoguslawJasinski@teleworm.us,"53 664 74 68",5/27/1979
6,male,Polish,Frydrych,Majewski,Myszków,FrydrychMajewski@teleworm.us,"88 634 28 11",7/20/1970
7,female,Polish,Adrianna,Pawłowska,Warszawa,AdriannaPawlowska@gustr.com,"51 951 46 01",10/26/1947
8,female,Polish,Tekla,Czarnecka,Gdańsk,TeklaCzarnecka@jourrapide.com,"79 722 52 48",2/17/1936
9,male,Polish,Cyryl,Szczepański,Szczecin,CyrylSzczepanski@cuvox.de,"67 958 62 46",9/24/1970
10,female,Polish,Agnieszka,Kowalska,Łódź,AgnieszkaKowalska@rhyta.com,"67 453 96 17",7/30/1955
11,female,Polish,Dorota,Symanska,Opole,DorotaSymanska@einrot.com,"51 726 11 58",8/16/1978
12,male,Polish,Aleksander,Borkowski,Myszków,AleksanderBorkowski@superrito.com,"72 873 06 31",3/5/1964
13,male,Polish,Franciszek,Sobczak,Rzeszów,FranciszekSobczak@fleckens.hu,"78 827 28 54",12/7/1958
14,female,Polish,Wioletta,Zając,Świętochłowice,WiolettaZajac@cuvox.de,"72 635 28 36",10/4/1952
15,female,Polish,Alicja,Majewska,Lublin,AlicjaMajewska@cuvox.de,"78 690 85 08",11/30/1995
16,male,Polish,Sylwester,Gorski,Warszawa,SylwesterGorski@dayrep.com,"60 747 60 17",3/9/1979
17,female,Polish,Gabriela,Jasińska,Wrocław,GabrielaJasinska@teleworm.us,"67 513 06 52",12/10/1935
18,female,Polish,Albina,Zielinska,"Stargard Szczeciński",AlbinaZielinska@armyspy.com,"78 369 68 77",2/28/1985
19,male,Polish,Donat,Pawlak,Jastrzębie-Zdrój,DonatPawlak@dayrep.com,"66 694 57 17",3/31/1954
